Note: [none]
Total # of Iterations:	1e+05	
Sample size:	372	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2315.167	36	4710.285	4702.333	1.006805	0.6927366	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	1	0.98	1	N/A	0	1	1	
ab	0.00610088	0.00561281	0.006700877	N/A	0	1000	0.0008049339	
gmax	10000	9600	10000	N/A	0	10000	274.2342	
ca	98.4544	90.57805	105.2111	N/A	0	2000	26.88595	
cb	14.50658	9.864478	21.20794	N/A	0	1000	4.748208	
cc	5	4.55	5	N/A	0	5	2.4	
cd	0.08691324	0.08604411	0.08789586	N/A	0	5	0.0009871314	
ce	0	0	6.213533e-26	N/A	0	1000	800	
cf	255.7611	248.6458	265.9915	N/A	-100	1000	6.323161	
cg	-21.38643	-21.99575	-20.86655	N/A	-1000	1000	0.3726405	
ta11	302.5892	250	325	N/A	250	325	75	
ta12	250.0805	250	265.0854	N/A	250	325	75	
ta13	273.7663	273.7663	273.7663	N/A	250	325	0.6262893	
ta14	250.0118	250	325	N/A	250	325	75	
ta15	299.6547	299.6547	299.6547	N/A	250	325	75	
ta16	271.7566	271.7566	271.7566	N/A	250	325	0.2829255	
tb11	207.0506	140.7944	500	N/A	0	500	500	
tb12	74.20505	66.78455	139.7775	N/A	0	500	500	
tb13	5.15232	4.173379	11.28843	N/A	0	500	0.721875	
tb14	151.7308	106.2116	500	N/A	0	500	500	
tb15	10.55719	10.1349	12.51496	N/A	0	500	500	
tb16	9.363957	9.270317	9.756465	N/A	0	500	0.2986438	
pa11	414.9819	0	489.6787	N/A	0	500	500	
pa12	80.554	64.4432	99.84852	N/A	0	500	11.70787	
pa13	282.9367	274.4486	298.7898	N/A	0	500	25.66356	
pa14	117.0861	93.66892	137.0861	N/A	0	500	333.3333	
pa15	108.7452	93.52089	128.7452	N/A	0	500	400	
pa16	0.3115363	0	11.05484	N/A	0	500	375	
pb11	1048.052	314.4156	2000	N/A	0	2000	2000	
pb12	103.9513	76.92398	147.7434	N/A	0	2000	16.20967	
pb13	224.2339	208.5375	234.8885	N/A	0	2000	5.412676	
pb14	101.5743	63.9918	207.8861	N/A	0	2000	1333.333	
pb15	94.83031	65.43291	181.5027	N/A	0	2000	2000	
pb16	142.8094	125.6722	159.095	N/A	0	2000	7.469952	
pc1	0.795284	0	1	N/A	0	1	1	
sd	123.1899	115.8045	128.4508	N/A	0.1	1000	5.258719	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1990	5	9	1	3	4	3.790017	9	1	1971	1973	2012	2	2	6	2	6	1	1	3	1	19	0.09102006	3.790017	2859.568	1	31.83099	19665.02	8619.802	7.290653	1305.071	41	0.625957	9.781658	0.1197735	3	38.57328	-79.15099	812.1907	0.09776669	-0.1087618	276.7172	278.3542	281.1053	283.5182	287.7538	292.3137	294.1372	293.6735	290.3082	285.8274	281.0836	277.3818	275.7039	274.6233	280.0385	282.5516	286.6701	292.7593	294.2341	293.2536	290.4004	285.1461	278.6663	267.9111	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	28.59568	293.4157	284.7376	274.3275	284.1258	293.3748	285.7397	167.4067	92.2	57.96333	85.46	95.66667	89.76	138.6815	
1990	6	12	2	1	3	641.6118	12	1	1911	1917	2012	2	2	13	6	29	1	1	1	1	79	1.771219	641.6118	94063.68	1	18.8349	28409.32	10263.16	15.27488	640.3868	34	0.5350869	16.49527	0.4999987	4	38.31877	-79.2409	952.3546	0.006178378	0.287183	276.4339	276.7008	278.5425	280.9439	285.3609	290.2187	292.1899	291.5811	288.1972	284.1014	280.0259	276.9075	275.4172	272.8774	277.4314	279.9082	284.1275	290.6928	292.3041	291.1191	288.2953	283.4075	277.4841	266.8815	67.82	73.41	61.28	68.67	144.9	48.47	107.87	116.84	58.41	206.42	31.56	117.7	58.45	55.35	89.25	94.33	153.99	159.64	126.41	148.43	125.83	108.01	68.38	46.46	940.6368	291.372	283.0623	273.3387	281.6158	291.3299	284.1082	144.8267	100.74	62.56333	91.61667	91.06	98.79667	809.2879	
1990	7	13	2	2	1	12.70484	13	2	1910	1911	2012	2	2	3	1	17	1	1	2	1	80	0.2228189	12.70484	10082.3	1	22.10485	12241.19	11352.35	18.43731	464.2019	21	0.2705897	26.45763	0.03348128	5	38.31586	-79.22329	829.397	0.01379032	0.008991831	275.2505	275.7381	278.0865	280.8731	285.4733	290.4677	292.5178	291.8361	288.2926	283.9625	279.574	275.8235	274.2383	271.9117	277.0091	279.8649	284.2277	290.9387	292.6337	291.3676	288.3892	283.2778	277.1269	266.0433	67.22	71.83	61.06	68.45	143.92	46.88	105.25	114.12	57.23	205.66	30.71	115.24	56.9	54.73	87.34	92.17	152.59	155.48	124.5	146.11	125.76	106.83	66	44.78	100.823	291.6467	282.9313	272.344	281.4776	291.6072	283.943	142.03	99.53	61.27667	91.14333	88.75	97.86667	128.779	
1990	8	14	2	3	3	36.92887	14	2	1976	1977	2012	2	2	4	1	12	1	1	3	1	14	0.05901966	36.92887	1186.563	1	49.73592	4887.47	3848.481	8.414283	1094.19	22	0.2430828	11.32356	0.009779193	6	38.32188	-79.22275	717.661	1.240813	-0.1189929	274.1545	274.7528	277.0937	280.8348	285.8044	290.7289	292.7828	292.171	288.4146	283.3983	278.6969	274.8546	273.1444	271.0258	276.1298	279.9588	284.5992	291.1859	292.8942	291.7187	288.5027	282.7534	276.5112	265.8715	67.22	71.83	61.06	68.45	143.92	46.88	105.25	114.12	57.23	205.66	30.71	115.24	56.9	54.73	87.34	92.17	152.59	155.48	124.5	146.11	125.76	106.83	66	44.78	11.86563	291.933	282.5891	271.593	281.2443	291.8943	283.5033	142.03	99.53	61.27667	91.14333	88.75	97.86667	14.97282	
1990	9	15	3	2	2	81.36434	15	1	1971	1976	2012	1	2	11	5	36	1	1	2	1	19	0.02517053	81.36434	790.78	1	31.83099	8417.379	5921.791	7.755252	763.9437	24	0.2679335	15.29441	0.0113729	7	37.72218	-80.10972	744.2226	0.2248697	-0.1103151	272.9463	273.5127	275.6958	280.072	285.3437	290.2712	292.4507	291.744	287.8357	282.6392	277.9433	274.2248	271.9567	269.909	274.7982	279.2493	284.1628	290.721	292.5632	291.2846	287.9186	282.0339	275.8453	265.4109	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	7.9078	291.5229	281.9326	270.6233	280.3705	291.4886	282.806	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	28.48735	
1990	9	16	3	2	2	48.72359	16	1	1957	1960	2012	1	2	10	3	43	1	1	2	1	33	0.06550088	48.72359	2057.835	1	31.83099	8417.379	5921.791	7.755252	763.9437	24	0.2679335	15.29441	0.02959552	7	37.72218	-80.10972	744.2226	0.2248697	-0.1103151	272.9463	273.5127	275.6958	280.072	285.3437	290.2712	292.4507	291.744	287.8357	282.6392	277.9433	274.2248	271.9567	269.909	274.7982	279.2493	284.1628	290.721	292.5632	291.2846	287.9186	282.0339	275.8453	265.4109	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	20.57835	291.5229	281.9326	270.6233	280.3705	291.4886	282.806	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	71.36155	
1990	10	17	3	3	1	65.94871	17	2	1945	1946	2012	1	2	10	1	3	1	1	3	1	45	0.06807847	65.94871	2138.815	1	31.83099	12016.96	7024.602	16.57216	891.2677	28	0.3825116	22.70774	0.01906893	8	37.72533	-80.1077	666.932	0.3427531	-0.2145659	273.8544	276.0516	278.4906	281.8549	286.6672	291.5387	293.6415	292.9683	289.2612	284.4222	279.6512	275.4577	272.8513	272.3699	277.5195	280.967	285.5126	291.9849	293.749	292.5206	289.349	283.7732	277.4269	266.3774	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	21.38815	292.7515	283.5164	272.0945	282.3376	292.7162	284.4449	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	36.42422	
1991	1	1	1	1	2	115.8776	1	1	1928	1931	2012	2	1	12	3	20	1	1	2	1	63	0.09574343	115.8776	4332.282	1	22.10485	15765.83	12946.19	18.74208	442.0971	20	0.3485014	25.65932	0.0264403	1	38.56745	-79.16833	1097.458	0.008509152	0.1805659	273.5425	275.658	278.9491	283.7738	289.9853	291.3193	293.6134	292.3471	288.9708	284.4785	277.7205	276.1872	276.8344	277.6067	280.1115	282.1354	286.1657	290.6735	292.4428	292.0039	288.8922	284.9031	280.5482	277.2478	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	43.32282	291.7067	284.7812	275.4827	284.2361	292.4266	283.7233	95.66667	89.76	85.84667	103.99	95.82	39.96667	104.2807	
1991	2	3	1	2	3	52.48659	3	1	1930	1936	2012	2	2	2	6	33	1	1	2	1	61	0.07836957	52.48659	2462.129	1	31.83099	10459.44	9026.045	11.39536	1050.423	33	0.3329344	19.8082	0.02120844	2	38.57215	-79.15678	907.0263	0.03839485	0.2385072	273.6417	275.2912	278.1192	283.1378	289.8839	291.411	293.9051	292.5166	288.8137	284.0755	277.6737	276.1776	276.9587	277.2323	279.1996	281.6431	286.0769	290.7863	292.7132	292.1675	288.7391	284.4863	280.287	277.1953	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	24.62129	291.889	284.5041	275.3761	283.7136	292.6109	283.521	95.66667	89.76	85.84667	103.99	95.82	39.96667	112.0767	
1991	2	2	1	2	3	11.22609	2	2	1928	1929	2012	2	1	12	1	21	1	1	3	1	63	0.07573269	11.22609	2379.286	1	31.83099	10459.44	9026.045	11.39536	1050.423	33	0.3329344	19.8082	0.02049485	2	38.57215	-79.15678	907.0263	0.03839485	0.2385072	273.6417	275.2912	278.1192	283.1378	289.8839	291.411	293.9051	292.5166	288.8137	284.0755	277.6737	276.1776	276.9587	277.2323	279.1996	281.6431	286.0769	290.7863	292.7132	292.1675	288.7391	284.4863	280.287	277.1953	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	23.79286	291.889	284.5041	275.3761	283.7136	292.6109	283.521	95.66667	89.76	85.84667	103.99	95.82	39.96667	108.5729	
