Note: [none]
Total # of Iterations:	1e+05	
Sample size:	110	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-634.5625	36	1377.618	1341.125	1.011272	0.7058615	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	0.8672795	0	1	N/A	0	1	0.8	
ab	0.1902302	0	1000	N/A	0	1000	0.1679341	
gmax	10000	9700	10000	N/A	0	10000	10000	
ca	80.40784	79.60376	85.85518	N/A	0	2000	13.01428	
cb	25.73278	24.96079	28.19597	N/A	0	1000	32.17395	
cc	3.26507	3.167117	3.299768	N/A	0	5	0.3022741	
cd	0.005532581	0.005477255	0.005532581	N/A	0	5	7.927101e-05	
ce	9.529044e-320	2.796412e-321	2.362525e-313	N/A	0	1000	3.726981e-286	
cf	311.8725	308.7538	311.8725	N/A	-100	1000	9.946874	
cg	-298.8825	-302.3473	-294.1461	N/A	-1000	1000	2.200632	
ta11	307.7608	307.7608	307.7608	N/A	250	325	75	
ta12	280.4469	280.4469	280.4469	N/A	250	325	0.3287247	
ta13	250	250	250	N/A	250	325	75	
ta14	283.5347	283.5347	283.5347	N/A	250	325	0.2958268	
ta15	301.3426	301.3426	301.3426	N/A	250	325	0.2976047	
ta16	250.9069	250	325	N/A	250	325	75	
tb11	16.22226	15.7356	16.54671	N/A	0	500	500	
tb12	4.079866	3.95747	4.17905	N/A	0	500	0.2366046	
tb13	39.72683	36.94595	42.36246	N/A	0	500	500	
tb14	2.313876	2.082488	2.482829	N/A	0	500	0.5593203	
tb15	5.528088	5.472807	5.528088	N/A	0	500	0.1558668	
tb16	339.9154	129.1679	500	N/A	0	500	24.87852	
pa11	127.5108	126.2357	130.061	N/A	0	500	6.064543	
pa12	475.4619	432.6703	500	N/A	0	500	500	
pa13	106.1342	102.9502	107.1955	N/A	0	500	8.059424	
pa14	0.003182733	0	237.6745	N/A	0	500	500	
pa15	362.2787	307.9369	423.8661	N/A	0	500	357.1429	
pa16	76.5604	75.0292	80.71352	N/A	0	500	8.357714	
pb11	49.34461	47.37083	51.3184	N/A	0	2000	5.653665	
pb12	862.7262	767.8263	962.3354	N/A	0	2000	2000	
pb13	50.87848	49.35213	54.43997	N/A	0	2000	8.62715	
pb14	616.2308	320.44	2000	N/A	0	2000	2000	
pb15	776.1995	636.4836	987.5315	N/A	0	2000	29.78349	
pb16	57.26319	54.40003	61.14867	N/A	0	2000	8.840212	
pc1	0.008153213	0	0.07460695	N/A	0	1	1	
sd	78.3437	75.21395	82.03033	N/A	0.1	1000	10.10604	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1992	1	1	1	1	4	80.77153	1	2	1982	1983	2012	1	2	4	1	10	1	1	2	1	10	0.01426612	80.77153	448.1974	1	31.83099	13212.52	8369.67	16.39652	732.1127	23	0.4205676	21.68214	0.006514865	1	37.91874	-79.84931	1146.939	0.01342732	0.1730398	271.5458	273.7274	276.2272	282.4664	286.3355	289.6477	293.2362	291.2911	289.4168	282.0721	277.3908	271.9866	271.3569	273.6574	278.2449	284.2668	290.6157	292.0538	294.0987	293.076	289.4317	284.0149	276.5931	274.1173	65.2	103.86	123.64	97.89	117.69	97.04	119.87	67.84	130.01	46.33	120.44	99.8	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	4.481974	293.0762	283.3466	273.1301	281.6764	291.3917	282.9599	109.0467	58.78	109.3467	113.0733	94.91667	98.92667	73.65862	
1992	2	2	1	2	1	173.512	2	1	1939	1940	2012	1	2	3	1	33	1	1	2	1	53	0.1318321	173.512	4141.755	1	31.83099	9495.376	5509.2	13.75146	827.6057	26	0.3022472	15.01769	0.07469922	2	37.91899	-79.84276	994.1304	0.03211271	0.02124307	273.1009	275.5569	277.6871	283.2881	286.7321	290.2073	293.8617	291.8803	290.1938	283.0019	278.6036	273.3357	272.9046	275.4839	279.7832	285.1532	291.2255	292.6417	294.7878	293.6826	290.2102	285.0866	277.8033	275.5116	65.2	103.86	123.64	97.89	117.69	97.04	119.87	67.84	130.01	46.33	120.44	99.8	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	41.41755	293.704	284.3667	274.7231	282.5691	291.9831	283.9331	109.0467	58.78	109.3467	113.0733	94.91667	98.92667	147.0888	
1992	3	3	2	3	2	331.2753	3	1	1809	1815	2012	1	2	2	6	2	1	1	1	1	183	2.557841	331.2753	80359.44	1	31.83099	15871.95	9157.216	25.93626	795.7747	25	0.5052197	28.10415	0.5288853	3	38.57435	-79.15297	834.3569	0.09192425	-0.1018449	273.2659	275.9518	277.1581	282.5508	286.0912	290.0322	293.7908	291.6547	289.8444	282.7071	278.8523	273.7882	273.0579	275.874	279.2692	284.384	290.8702	292.4316	294.803	293.5233	289.8618	284.9045	278.0641	276.0558	56.5	79.13	94.75	89.49	114.76	81.23	107.31	52.8	59.19	17.41	85.14	78.64	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	803.5944	293.586	284.2768	275.0912	281.9334	291.8259	283.8013	95.82	39.96667	92.77667	99.66667	80.44667	53.91333	359.7788	
1992	3	4	2	3	2	128.0341	4	2	1969	1970	2012	1	1	5	1	6	1	1	2	1	23	0.1116283	128.0341	3507.015	1	31.83099	15871.95	9157.216	25.93626	795.7747	25	0.5052197	28.10415	0.02308141	3	38.57435	-79.15297	834.3569	0.09192425	-0.1018449	273.2659	275.9518	277.1581	282.5508	286.0912	290.0322	293.7908	291.6547	289.8444	282.7071	278.8523	273.7882	273.0579	275.874	279.2692	284.384	290.8702	292.4316	294.803	293.5233	289.8618	284.9045	278.0641	276.0558	56.5	79.13	94.75	89.49	114.76	81.23	107.31	52.8	59.19	17.41	85.14	78.64	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	35.07015	293.586	284.2768	275.0912	281.9334	291.8259	283.8013	95.82	39.96667	92.77667	99.66667	80.44667	53.91333	100.3339	
1992	4	5	3	1	2	113.763	5	2	1954	1955	2012	1	2	1	1	22	1	1	3	1	38	0.1590937	113.763	4998.232	1	31.83099	12751.22	7061.601	17.45108	986.7606	31	0.405884	22.01014	0.06947192	4	37.71701	-80.1116	885.8552	0.0074163	0.2365007	273.6705	274.7418	274.967	280.3423	284.053	288.3264	292.4146	289.9037	288.1261	281.3429	278.1683	273.7957	273.4653	274.6647	277.0367	282.1963	289.299	290.811	293.5797	291.9412	288.1438	283.4993	277.3803	276.1027	45.34	116.37	97.71	94.64	147.21	117.52	107.18	69.1	55.29	34.46	94.43	77.28	92.41	45.91	197.24	69.37	93.25	58.81	139.16	79.64	27.37	22.36	98.51	128.04	49.98232	292.1106	283.0078	274.8383	279.7875	290.2149	282.5457	92.53667	49.41333	96.58333	113.1867	97.93333	61.39333	24.20403	
1993	1	1	1	1	4	73.71567	1	2	1982	1983	2012	1	2	4	1	10	1	1	2	1	11	0.01661249	73.71567	521.9131	1	31.83099	14504.6	8514.463	16.75473	732.1127	23	0.4616957	22.14383	0.007458086	1	37.91874	-79.84931	1146.939	0.01342732	0.1730398	273.0902	270.3428	274.589	281.9994	288.2186	291.5129	294.6525	293.4648	289.7532	282.6936	277.1272	271.1547	271.5458	273.7274	276.2272	282.4664	286.3355	289.6477	293.2362	291.2911	289.4168	282.0721	277.3908	271.9866	98.44	74.73	197.27	128.19	81.81	99.71	95.04	58.16	126.85	58.7	120.38	124.92	65.2	103.86	123.64	97.89	117.69	97.04	119.87	67.84	130.01	46.33	120.44	99.8	5.219131	291.3917	282.9599	271.8065	281.6023	293.2101	283.1913	94.91667	98.92667	90.99	135.7567	84.30333	101.9767	106.0632	
1993	2	2	1	2	1	53.0886	2	1	1939	1940	2012	1	2	3	1	33	1	1	2	1	54	0.1335219	53.0886	4194.843	1	31.83099	10302.73	5619.572	14.04117	827.6057	26	0.3279462	15.34564	0.07450816	2	37.91899	-79.84276	994.1304	0.03211271	0.02124307	274.7059	272.0258	275.9851	282.8045	288.7089	292.0944	295.3825	294.0752	290.5647	283.6687	278.3391	272.4861	273.1009	275.5569	277.6871	283.2881	286.7321	290.2073	293.8617	291.8803	290.1938	283.0019	278.6036	273.3357	98.44	74.73	197.27	128.19	81.81	99.71	95.04	58.16	126.85	58.7	120.38	124.92	65.2	103.86	123.64	97.89	117.69	97.04	119.87	67.84	130.01	46.33	120.44	99.8	41.94843	291.9831	283.9331	273.3558	282.4995	293.8507	284.1909	94.91667	98.92667	90.99	135.7567	84.30333	101.9767	202.2155	
1993	3	3	2	3	2	362.1716	3	1	1809	1815	2012	1	2	2	6	2	1	1	1	1	184	2.569369	362.1716	80721.61	1	31.83099	14549.52	9317.111	26.36307	795.7747	25	0.4631256	28.56728	0.5230606	3	38.57435	-79.15297	834.3569	0.09192425	-0.1018449	274.9662	272.1919	275.444	282.0753	288.1937	291.8922	295.4531	293.9303	290.2373	283.41	278.5918	272.9029	273.2659	275.9518	277.1581	282.5508	286.0912	290.0322	293.7908	291.6547	289.8444	282.7071	278.8523	273.7882	50.5	58.61	151.34	121.84	56.78	52.77	59.41	74.37	137.26	59.59	94.31	100.93	56.5	79.13	94.75	89.49	114.76	81.23	107.31	52.8	59.19	17.41	85.14	78.64	807.2161	291.8259	283.8013	273.6488	281.9043	293.7585	284.0797	80.44667	53.91333	62.58333	109.9867	62.18333	97.05333	352.5078	
1993	3	4	2	3	2	175.6527	4	2	1969	1970	2012	1	1	5	1	6	1	1	2	1	24	0.1172193	175.6527	3682.668	1	31.83099	14549.52	9317.111	26.36307	795.7747	25	0.4631256	28.56728	0.02386298	3	38.57435	-79.15297	834.3569	0.09192425	-0.1018449	274.9662	272.1919	275.444	282.0753	288.1937	291.8922	295.4531	293.9303	290.2373	283.41	278.5918	272.9029	273.2659	275.9518	277.1581	282.5508	286.0912	290.0322	293.7908	291.6547	289.8444	282.7071	278.8523	273.7882	50.5	58.61	151.34	121.84	56.78	52.77	59.41	74.37	137.26	59.59	94.31	100.93	56.5	79.13	94.75	89.49	114.76	81.23	107.31	52.8	59.19	17.41	85.14	78.64	36.82668	291.8259	283.8013	273.6488	281.9043	293.7585	284.0797	80.44667	53.91333	62.58333	109.9867	62.18333	97.05333	98.97545	
1993	4	5	3	1	2	12.86011	5	2	1954	1955	2012	1	2	1	1	22	1	1	3	1	39	0.1595031	12.86011	5011.092	1	31.83099	12663.06	7217.44	17.80338	986.7606	31	0.4030777	22.41322	0.0682197	4	37.71701	-80.1116	885.8552	0.0074163	0.2365007	275.3484	271.0158	273.2866	279.8615	286.361	290.2524	294.3279	292.385	288.5265	282.0327	277.9078	272.895	273.6705	274.7418	274.967	280.3423	284.053	288.3264	292.4146	289.9037	288.1261	281.3429	278.1683	273.7957	58.52	76.66	194.33	107.71	56.93	79.06	130.18	55.16	110.22	53.49	71.57	109.68	45.34	116.37	97.71	94.64	147.21	117.52	107.18	69.1	55.29	34.46	94.43	77.28	50.11092	290.2149	282.5457	273.3866	279.8364	292.3218	282.8223	97.93333	61.39333	70.82	119.6567	88.13333	78.42667	43.17137	
