Note: [none]
Total # of Iterations:	1e+05	
Sample size:	220	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-1679.057	36	3444.671	3430.114	0.9981399	0.7894569	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	1	0.92	1	N/A	0	1	0.8928571	
ab	0.01331884	0.00812449	0.01871876	N/A	0	1000	0.003433774	
gmax	10000	9500	10000	N/A	0	10000	6400	
ca	108.8543	100.146	120.2012	N/A	0	2000	13.8931	
cb	157.5654	137.0819	177.7839	N/A	0	1000	16.50211	
cc	5	4.9	5	N/A	0	5	3.333333	
cd	4.082193	4.000549	4.163837	N/A	0	5	0.0530328	
ce	113.737	103.5007	126.1447	N/A	0	1000	9.643472	
cf	501.1853	429.043	571.0193	N/A	-100	1000	229.6107	
cg	-0.330827	-0.3491526	-0.309413	N/A	-1000	1000	0.009592193	
ta11	250.5587	250	325	N/A	250	325	6	
ta12	297.5863	250	325	N/A	250	325	54.6875	
ta13	306.5141	250	321.8398	N/A	250	325	75	
ta14	323.739	250	325	N/A	250	325	75	
ta15	294.7265	294.7265	294.7265	N/A	250	325	0.4609353	
ta16	291.3816	291.3816	291.3816	N/A	250	325	0.2823322	
tb11	157.2231	95.9061	500	N/A	0	500	12.12121	
tb12	250.2706	90.09741	500	N/A	0	500	179.5735	
tb13	126.0936	59.264	500	N/A	0	500	500	
tb14	499.991	89.99838	500	N/A	0	500	500	
tb15	5.504236	4.623558	6.251572	N/A	0	500	0.9483191	
tb16	7.3833	7.014135	7.580347	N/A	0	500	0.2011413	
pa11	113.2228	100.7683	123.2228	N/A	0	500	6.568256	
pa12	477.1435	0	500	N/A	0	500	500	
pa13	5.229718e-15	0	41.07748	N/A	0	500	500	
pa14	59.31671	0	190.6403	N/A	0	500	500	
pa15	142.4751	129.6523	146.7494	N/A	0	500	6.991565	
pa16	206.2033	185.583	214.1413	N/A	0	500	6.033231	
pb11	82.77589	71.18726	141.9481	N/A	0	2000	9.111451	
pb12	1999.831	419.9645	2000	N/A	0	2000	2000	
pb13	367.864	235.4329	2000	N/A	0	2000	2000	
pb14	279.1682	240.0846	2000	N/A	0	2000	2000	
pb15	87.87492	82.60242	109.6324	N/A	0	2000	12.11496	
pb16	191.6398	180.1414	222.49	N/A	0	2000	21.59976	
pc1	0.03988765	0	1	N/A	0	1	1	
sd	494.7602	465.0806	540.127	N/A	0.1	1000	31.09528	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1991	1	1	1	1	4	456.7492	1	1	1933	1939	2012	1	1	5	6	8	1	1	1	1	58	0.3683067	456.7492	11571.05	1	31.83099	13053.3	8240.74	16.07851	700.2817	22	0.4154995	21.26157	0.1705183	1	37.91874	-79.84931	1146.939	0.01342732	0.1730398	271.3569	273.6574	278.2449	284.2668	290.6157	292.0538	294.0987	293.076	289.4317	284.0149	276.5931	274.1173	274.3585	275.4004	279.2866	282.7861	287.3289	291.435	293.1359	292.7526	289.3678	284.3822	279.2371	275.06	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	115.7105	292.4412	284.329	273.3581	284.3758	293.0762	283.3466	94.67	110.4633	100.92	103.4067	109.0467	58.78	619.401	
1991	2	2	1	2	2	698.6095	2	1	1936	1953	2012	1	2	8	17	10	1	1	1	1	55	0.6045335	698.6095	18992.57	1	31.83099	12924.87	8662.247	15.4106	1177.747	37	0.4114115	24.30732	0.1784373	2	37.91985	-79.84246	997.5121	0.03488264	-0.09616352	272.9113	275.5738	279.9198	285.284	291.3019	292.7061	294.8311	293.7497	290.3043	285.1696	277.8555	275.5424	276.0291	277.3879	281.0008	283.7523	287.8702	292.0803	293.8039	293.425	290.2339	285.5634	280.5035	276.5025	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	189.9257	293.1031	285.4336	274.9959	285.5019	293.7623	284.4432	94.67	110.4633	100.92	103.4067	109.0467	58.78	773.2557	
1991	3	3	2	2	2	45.55561	3	2	1953	1954	2013	1	1	4	1	4	1	1	3	1	38	0.03713214	45.55561	1166.577	1	31.83099	11506.9	4452.717	14.03133	891.2677	28	0.366276	14.4765	0.01834999	3	37.23649	-80.85878	1006.101	0.03159261	-0.04174077	272.1218	274.4853	279.5127	285.8083	291.9091	293.4551	295.377	294.5261	290.8544	284.9962	277.3995	274.6628	274.9297	276.0665	280.4555	284.44	288.9368	292.8558	294.4928	294.2167	290.7966	285.3351	279.8205	275.496	83.74	69.74	144.27	92.35	136.84	72.24	100.93	46.88	46.71	10.55	91.63	147.85	91.97	115.9	93.61	58.23	209.88	54.73	152.21	174.34	76.73	179.2	49.25	111.49	11.66577	293.8551	285.3174	274.0344	285.7434	294.4527	284.4167	127.0933	101.7267	88.32333	124.4867	73.35	49.63	139.3678	
1991	4	5	3	1	1	514.571	5	1	1914	1916	2012	1	2	3	2	24	1	1	1	1	77	1.121873	514.571	79284.31	1	14.14711	22358.7	16840.7	18.23366	537.59	38	0.316311	21.44787	0.3651627	4	38.56657	-79.16857	1094.132	0.008329372	0.205676	273.2111	275.732	279.3828	284.2676	290.3361	291.6841	293.9103	292.7044	289.3591	284.7853	277.8535	275.9515	276.4642	277.6512	280.5345	282.6362	286.6085	291.042	292.7719	292.3665	289.2816	285.2051	280.6658	276.999	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	792.8431	292.0601	285.0508	275.314	284.6622	292.7663	283.9993	95.66667	89.76	85.84667	103.99	95.82	39.96667	1759.296	
1991	4	4	3	1	1	1423.813	4	2	1889	1890	2012	1	2	1	1	12	1	1	1	1	102	0.9672929	1423.813	68359.92	1	14.14711	22358.7	16840.7	18.23366	537.59	38	0.316311	21.44787	0.3148478	4	38.56657	-79.16857	1094.132	0.008329372	0.205676	273.2111	275.732	279.3828	284.2676	290.3361	291.6841	293.9103	292.7044	289.3591	284.7853	277.8535	275.9515	276.4642	277.6512	280.5345	282.6362	286.6085	291.042	292.7719	292.3665	289.2816	285.2051	280.6658	276.999	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	683.5992	292.0601	285.0508	275.314	284.6622	292.7663	283.9993	95.66667	89.76	85.84667	103.99	95.82	39.96667	1228.828	
1991	5	6	3	1	3	1009.511	6	1	1833	1838	2012	1	2	9	5	11	1	1	1	1	158	3.274195	1009.511	231391.9	1	14.14711	14140.01	18478.58	18.501	183.9124	13	0.2000403	27.70755	0.638087	4	38.56833	-79.16862	1102.65	0.00787903	0.2099813	273.4167	275.3696	278.3833	283.189	289.5777	290.8978	293.2722	291.9359	288.5164	284.0967	277.4968	276.1064	276.7419	277.3436	279.5511	281.5464	285.6551	290.2475	292.0624	291.5863	288.437	284.5243	280.334	277.1805	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	2313.919	291.2987	284.4318	275.3223	283.7167	292.0353	283.37	95.66667	89.76	85.84667	103.99	95.82	39.96667	2527.962	
1991	6	7	4	1	1	431.3657	7	1	1916	1918	2012	1	2	2	2	8	1	1	1	1	75	1.178541	431.3657	37026.09	1	31.83099	6126.67	3770.272	10.9993	286.4789	9	0.195018	53.31304	0.2970217	5	36.7531	-81.30619	1242.081	0.007867764	0.116471	272.7819	273.6325	275.36	280.3301	287.4976	288.6406	291.3131	289.6345	286.107	281.8737	275.901	275.4825	276.2047	275.6936	276.5782	278.6153	283.0566	287.9562	289.9716	289.2583	286.0234	282.3134	278.8292	276.6019	81.87	95.29	210.02	104.36	153.15	130.46	128.65	55.46	54.92	11.08	98.97	115.72	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	370.2609	289.062	282.3886	274.3388	281.0626	289.8627	281.2939	106.3533	141.4967	91.16667	155.8433	104.8567	54.99	247.06	
1991	7	8	4	1	3	323.6657	8	2	1975	1976	2012	1	1	7	1	6	1	1	1	1	16	0.1237877	323.6657	3889.026	1	31.83099	11599.33	4290.831	4.490289	891.2677	28	0.369218	6.444498	0.06044346	5	36.75242	-81.30829	1256.673	0.007666207	0.1800234	272.9484	273.7809	275.566	280.5182	287.6263	288.7896	291.407	289.7634	286.2203	281.9739	275.9563	275.5524	276.3539	275.8377	276.7963	278.7908	283.2498	288.11	290.1066	289.3902	286.1375	282.4142	278.9143	276.6708	81.87	95.29	210.02	104.36	153.15	130.46	128.65	55.46	54.92	11.08	98.97	115.72	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	38.89026	289.2023	282.4887	274.4667	281.2369	289.9867	281.3835	106.3533	141.4967	91.16667	155.8433	104.8567	54.99	331.9323	
1991	8	9	4	2	2	82.89909	9	1	1915	1917	2012	1	1	7	2	10	1	1	1	1	76	0.09469987	82.89909	2975.177	1	31.83099	8967.92	6310.684	10.06285	763.9437	24	0.2854577	13.98657	0.06059056	6	36.75741	-81.30741	1129.348	0.0256407	-0.05699014	268.937	270.8086	273.1459	279.4387	287.298	288.5763	291.3573	289.6758	285.7973	280.723	274.4142	272.7916	272.3267	272.8027	274.2102	277.9511	282.9834	287.9089	289.9948	289.3011	285.7213	281.1224	277.0077	273.8412	81.87	95.29	210.02	104.36	153.15	130.46	128.65	55.46	54.92	11.08	98.97	115.72	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	29.75177	289.0683	281.2838	271.1956	279.9609	289.8698	280.3115	106.3533	141.4967	91.16667	155.8433	104.8567	54.99	139.221	
1991	9	10	5	2	1	46.43525	10	1	1963	1966	2012	1	1	6	3	47	1	1	2	1	28	0.05179021	46.43525	1627.088	1	31.83099	9621.818	5706.208	6.839372	923.0987	29	0.306272	13.30401	0.02277839	7	37.72242	-80.1086	738.0771	0.2374777	-0.09343816	269.6272	271.5847	274.6263	281.2487	289.1908	290.8458	293.6965	292.069	287.8392	282.1763	275.6496	273.2199	272.8179	273.4234	275.5305	279.977	285.2873	290.229	292.4211	291.7036	287.7731	282.5418	277.8926	274.1381	92.41	45.91	197.24	69.37	93.25	58.81	139.16	79.64	27.37	22.36	98.51	128.04	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	16.27088	291.4512	282.7358	271.7833	281.6886	292.2038	281.8884	82.11333	94.77	88.39	119.9533	92.53667	49.41333	136.2826	
