Note: [none]
Total # of Iterations:	1e+05	
Sample size:	173	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-1196.454	36	2484.496	2464.908	1.007466	0.8774524	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	0.8497564	0.8327612	0.8582539	N/A	0	1	0.02461774	
ab	0.0002740531	0.0002548694	0.0002995342	N/A	0	1000	5.058866e-05	
gmax	10000	9700	10000	N/A	0	10000	1128.748	
ca	4.543114	3.407335	7.119387	N/A	0	2000	1.609177	
cb	968.5343	736.0861	1000	N/A	0	1000	150	
cc	3.520531	3.414915	3.661353	N/A	0	5	0.0803268	
cd	3.521843	0	5	N/A	0	5	5	
ce	514.0753	0	1000	N/A	0	1000	1000	
cf	664.4583	-100	1000	N/A	-100	1000	1100	
cg	479.4889	-1000	1000	N/A	-1000	1000	2000	
ta11	320.1506	250	325	N/A	250	325	75	
ta12	297.6703	297.6703	297.6703	N/A	250	325	0.4866112	
ta13	275.036	272.2856	275.036	N/A	250	325	75	
ta14	295.592	250	325	N/A	250	325	4.525253	
ta15	301.7786	250	325	N/A	250	325	27.42857	
ta16	324.7977	250	325	N/A	250	325	75	
tb11	456.3409	177.9729	500	N/A	0	500	500	
tb12	17.11399	16.60057	18.76432	N/A	0	500	0.2513724	
tb13	11.58487	9.731288	28.19098	N/A	0	500	500	
tb14	335.7506	137.6577	500	N/A	0	500	15.80247	
tb15	385.5267	177.3423	500	N/A	0	500	58.92256	
tb16	375.9625	146.6254	500	N/A	0	500	500	
pa11	303.8039	279.4996	314.6898	N/A	0	500	9.000366	
pa12	116.1672	104.5504	127.3288	N/A	0	500	14.15568	
pa13	0.003624864	0	383.1298	N/A	0	500	500	
pa14	3.326751	0	72.0996	N/A	0	500	500	
pa15	1.08066e-08	0	40.88663	N/A	0	500	33.90842	
pa16	0.02778489	0	363.6191	N/A	0	500	229.1667	
pb11	294.7175	282.9288	338.5915	N/A	0	2000	10.94311	
pb12	116.6703	102.6699	161.8702	N/A	0	2000	23.75093	
pb13	1343.268	416.4132	2000	N/A	0	2000	2000	
pb14	304.5876	268.0371	725.0499	N/A	0	2000	564.3739	
pb15	249.1002	224.1901	361.1577	N/A	0	2000	49.22442	
pb16	1310.142	458.5498	2000	N/A	0	2000	311.6883	
pc1	0.5697274	0	1	N/A	0	1	1	
sd	246.7496	227.0176	266.7496	N/A	0.1	1000	16.96595	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1991	3	3	2	1	1	1674.167	3	1	1908	1912	2012	1	2	3	4	13	1	1	1	1	83	1.509306	1674.167	47417.72	1	31.83099	16375.41	7147.963	21.74024	509.2958	16	0.5212454	21.76481	0.425332	3	38.31762	-79.23926	941.822	0.008083133	0.1976616	272.8891	275.1285	278.5283	283.632	290.1699	291.6274	294.0883	292.6895	289.0944	284.4122	277.6002	275.736	276.148	277.0713	279.6624	282.0164	286.2848	290.9854	292.8721	292.335	289.0169	284.8325	280.3521	276.776	96	42.98	157.6	58.73	44.06	68.95	188.78	70.05	23.22	23.71	55.11	143.7	67.82	73.41	61.28	68.67	144.9	48.47	107.87	116.84	58.41	206.42	31.56	117.7	474.1772	292.0642	284.7338	274.9312	284.1101	292.8017	283.7023	91.06	98.79667	85.56	86.79667	109.26	34.01333	1257.968	
1991	4	4	3	2	1	294.1297	4	1	1910	1912	2012	1	2	2	2	31	1	1	1	1	81	0.3673634	294.1297	11541.42	1	31.83099	9925.443	6757.79	10.96115	1018.592	32	0.3159367	15.92335	0.1732627	4	36.7579	-81.3064	1114.838	0.0279629	-0.07959976	268.7919	270.9148	273.4504	279.6766	287.4565	288.7409	291.5049	289.8425	285.9843	280.9348	274.5108	272.7288	272.186	272.9146	274.5188	278.1862	283.1678	288.0754	290.1523	289.4694	285.9082	281.3358	277.1102	273.7794	81.87	95.29	210.02	104.36	153.15	130.46	128.65	55.46	54.92	11.08	98.97	115.72	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	115.4142	289.2324	281.4514	271.162	280.1945	290.0294	280.4766	106.3533	141.4967	91.16667	155.8433	104.8567	54.99	360.5278	
1991	5	5	3	3	1	137.9989	5	2	1913	1914	2012	1	2	1	1	25	1	1	1	1	78	0.3418399	137.9989	10739.55	1	31.83099	16337.9	11738.57	15.2612	1336.902	42	0.5200516	21.5358	0.1413808	5	36.76212	-81.30692	1000.51	0.07691931	-0.1967007	270.229	273.4231	276.4296	281.8734	288.9555	290.2876	292.8693	291.3739	287.6935	282.8295	276.1757	274.0193	273.6459	275.4388	277.5438	280.3401	284.8905	289.6368	291.6171	291.0167	287.6164	283.2472	278.832	275.0675	81.87	95.29	210.02	104.36	153.15	130.46	128.65	55.46	54.92	11.08	98.97	115.72	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	107.3955	290.7569	283.2319	272.9065	282.4195	291.5103	282.2329	106.3533	141.4967	91.16667	155.8433	104.8567	54.99	135.1814	
1991	6	6	4	1	1	18.00447	6	1	1955	1958	2012	1	1	7	3	18	1	1	4	1	36	0.07600909	18.00447	2387.97	1	31.83099	11241.56	8445.496	19.65322	668.4508	21	0.35783	26.19829	0.01093649	6	37.71746	-80.1106	877.0418	0.007794109	0.1819402	273.0394	274.2643	276.6722	281.9594	289.1675	290.6814	293.4839	291.8281	287.9891	283.2924	277.1569	275.7837	276.2958	276.1789	277.7268	280.4529	285.1195	290.0423	292.17	291.4568	287.9137	283.6964	279.7402	276.7994	92.41	45.91	197.24	69.37	93.25	58.81	139.16	79.64	27.37	22.36	98.51	128.04	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	23.8797	291.223	283.7834	274.701	282.5997	291.9978	282.8128	82.11333	94.77	88.39	119.9533	92.53667	49.41333	7.575509	
1991	7	8	4	2	2	1079.616	8	1	1908	1911	2012	1	2	5	3	14	1	1	1	1	83	1.612677	1079.616	50665.32	1	31.83099	8198.752	6001.639	7.90416	795.7747	25	0.2609744	15.55539	0.7203504	7	37.72218	-80.10972	744.2226	0.2248697	-0.1103151	269.7455	271.6626	274.7801	281.3574	289.2434	290.8884	293.7215	292.1083	287.9024	282.2704	275.678	273.3004	272.9463	273.5127	275.6958	280.072	285.3437	290.2712	292.4507	291.744	287.8357	282.6392	277.9433	274.2248	92.41	45.91	197.24	69.37	93.25	58.81	139.16	79.64	27.37	22.36	98.51	128.04	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	506.6532	291.4886	282.806	271.8777	281.7936	292.2394	281.9503	82.11333	94.77	88.39	119.9533	92.53667	49.41333	1091.871	
1991	7	7	4	2	2	48.05404	7	2	1953	1954	2012	1	1	7	1	6	1	1	4	1	38	0.1317398	48.05404	4138.857	1	31.83099	8198.752	6001.639	7.90416	795.7747	25	0.2609744	15.55539	0.05884553	7	37.72218	-80.10972	744.2226	0.2248697	-0.1103151	269.7455	271.6626	274.7801	281.3574	289.2434	290.8884	293.7215	292.1083	287.9024	282.2704	275.678	273.3004	272.9463	273.5127	275.6958	280.072	285.3437	290.2712	292.4507	291.744	287.8357	282.6392	277.9433	274.2248	92.41	45.91	197.24	69.37	93.25	58.81	139.16	79.64	27.37	22.36	98.51	128.04	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	41.38857	291.4886	282.806	271.8777	281.7936	292.2394	281.9503	82.11333	94.77	88.39	119.9533	92.53667	49.41333	8.714882	
1992	1	1	1	2	2	1380.936	1	1	1845	1865	2012	1	2	6	20	37	1	1	2	1	147	3.431887	1380.936	107819.3	1	31.83099	13835.75	8820.072	15.72815	1177.747	37	0.4404056	24.74772	1	1	37.91985	-79.84246	997.5121	0.03488264	-0.09616352	273.1075	275.6467	277.8262	283.4215	286.8331	290.2728	293.9109	291.9579	290.2879	283.0867	278.6545	273.3724	272.9113	275.5738	279.9198	285.284	291.3019	292.7061	294.8311	293.7497	290.3043	285.1696	277.8555	275.5424	65.2	103.86	123.64	97.89	117.69	97.04	119.87	67.84	130.01	46.33	120.44	99.8	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	1078.193	293.7623	284.4432	274.7655	282.6936	292.0472	284.0097	109.0467	58.78	109.3467	113.0733	94.91667	98.92667	1674.022	
1992	2	2	1	3	4	37.08462	2	1	1932	1934	2009	1	2	4	2	37	1	1	3	1	60	0.2010622	37.08462	6316.751	1	31.83099	6488.034	4918.928	14.61077	859.4367	27	0.2065205	14.93609	0.1378819	2	37.91554	-79.83873	868.6189	0.04166063	-0.09718033	273.3199	275.9163	277.932	283.5445	287.078	290.6917	294.3876	292.3492	290.5636	283.2819	278.9397	273.6729	273.1239	275.8432	280.0043	285.3952	291.5942	293.1024	295.3338	294.1766	290.5801	285.3782	278.1518	275.8266	65.2	103.86	123.64	97.89	117.69	97.04	119.87	67.84	130.01	46.33	120.44	99.8	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	63.16751	294.2042	284.7034	275.021	282.8515	292.4762	284.2617	109.0467	58.78	109.3467	113.0733	94.91667	98.92667	121.0254	
1992	3	3	2	1	1	1169.307	3	1	1908	1912	2012	1	2	3	4	13	1	1	1	1	84	1.546525	1169.307	48587.02	1	31.83099	12818.6	7285.841	22.13804	509.2958	16	0.4080287	22.17284	0.4300207	3	38.31762	-79.23926	941.822	0.008083133	0.1976616	273.0942	275.2065	276.3318	281.6675	285.1107	289.1311	292.9988	290.7327	289.0763	282.1891	278.4305	273.3854	272.8891	275.1285	278.5283	283.632	290.1699	291.6274	294.0883	292.6895	289.0944	284.4122	277.6002	275.736	55.48	74.27	90.67	101.15	123.4	87.67	105.77	59.92	80.4	29.46	108.69	81.24	96	42.98	157.6	58.73	44.06	68.95	188.78	70.05	23.22	23.71	55.11	143.7	485.8702	292.8017	283.7023	274.6789	281.0367	290.9542	283.232	109.26	34.01333	91.15	105.0733	84.45333	72.85	1016.134	
1992	4	4	3	2	1	246.5692	4	1	1910	1912	2012	1	2	2	2	31	1	1	1	1	82	0.3752117	246.5692	11787.99	1	31.83099	8972.952	6878.556	11.14021	1018.592	32	0.2856179	16.20897	0.1747599	4	36.7579	-81.3064	1114.838	0.0279629	-0.07959976	269.0055	270.9952	271.381	277.8644	281.8717	286.1534	290.2932	287.7832	285.9665	278.8136	275.2951	270.3543	268.7919	270.9148	273.4504	279.6766	287.4565	288.7409	291.5049	289.8425	285.9843	280.9348	274.5108	272.7288	83.3	97.4	104.58	179.07	153.23	222.67	83.77	101.64	75.42	104.57	206.61	91.11	81.87	95.29	210.02	104.36	153.15	130.46	128.65	55.46	54.92	11.08	98.97	115.72	117.8799	290.0294	280.4766	270.9098	277.039	288.0766	280.0251	104.8567	54.99	98.80667	145.6267	136.0267	128.8667	300.0451	
1992	5	5	3	3	1	148.2724	5	2	1913	1914	2012	1	2	1	1	25	1	1	1	1	79	0.3465594	148.2724	10887.82	1	31.83099	16233.17	11965.81	15.5533	1336.902	42	0.516718	22.05251	0.1414742	5	36.76212	-81.30692	1000.51	0.07691931	-0.1967007	270.444	273.504	274.2715	280.0091	283.662	287.7572	291.7476	289.4022	287.6755	280.62	276.9771	271.6504	270.229	273.4231	276.4296	281.8734	288.9555	290.2876	292.8693	291.3739	287.6935	282.8295	276.1757	274.0193	83.3	97.4	104.58	179.07	153.23	222.67	83.77	101.64	75.42	104.57	206.61	91.11	81.87	95.29	210.02	104.36	153.15	130.46	128.65	55.46	54.92	11.08	98.97	115.72	108.8782	291.5103	282.2329	272.6558	279.3142	289.6357	281.7575	104.8567	54.99	98.80667	145.6267	136.0267	128.8667	111.0391	
1992	6	6	4	1	1	47.10567	6	1	1955	1958	2012	1	1	7	3	18	1	1	4	1	37	0.07750846	47.10567	2435.076	1	31.83099	12388.87	8559.347	19.97454	668.4508	21	0.39435	26.59264	0.01103928	6	37.71746	-80.1106	877.0418	0.007794109	0.1819402	273.2443	274.3412	274.6297	280.1276	283.8962	288.1964	292.3069	289.7786	287.9715	281.1559	277.9363	273.4883	273.0394	274.2643	276.6722	281.9594	289.1675	290.6814	293.4839	291.8281	287.9891	283.2924	277.1569	275.7837	45.34	116.37	97.71	94.64	147.21	117.52	107.18	69.1	55.29	34.46	94.43	77.28	92.41	45.91	197.24	69.37	93.25	58.81	139.16	79.64	27.37	22.36	98.51	128.04	24.35076	291.9978	282.8128	274.4564	279.5512	290.0939	282.3546	92.53667	49.41333	96.58333	113.1867	97.93333	61.39333	6.394131	
