Note: [none]
Total # of Iterations:	1e+05	
Sample size:	242	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-1402.095	36	2889.186	2876.191	0.9979964	0.8586826	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	1	1	1	N/A	0	1	0.8	
ab	0.003311582	0.003146003	0.003444045	N/A	0	1000	9.220924e-05	
gmax	8910.172	8642.867	9177.477	N/A	0	10000	178.6458	
ca	1998.747	1519.048	2000	N/A	0	2000	2000	
cb	1000	750	1000	N/A	0	1000	666.6667	
cc	1.952239	1.913194	2.032717	N/A	0	5	0.07176478	
cd	0.01191406	0.0114375	0.01239063	N/A	0	5	0.0003300811	
ce	1.092629e-245	1.092629e-247	2.623934e-234	N/A	0	1000	1.362224e-233	
cf	868.215	54.91441	1000	N/A	-100	1000	1100	
cg	-990.549	-1000	-143.7839	N/A	-1000	1000	2000	
ta11	300.1795	300.1795	300.1795	N/A	250	325	0.5157672	
ta12	283.2973	283.2973	283.2973	N/A	250	325	0.5168572	
ta13	291.3306	291.3306	291.3306	N/A	250	325	0.2770181	
ta14	253.8385	250	325	N/A	250	325	75	
ta15	296.8677	296.8677	296.8677	N/A	250	325	0.2443125	
ta16	286.4461	286.4461	286.4461	N/A	250	325	0.7915894	
tb11	10.60085	10.17682	11.34291	N/A	0	500	1.204397	
tb12	3.789472	3.107367	5.514483	N/A	0	500	1.577465	
tb13	16.18242	15.85877	16.66789	N/A	0	500	0.2191411	
tb14	127.7457	89.42199	500	N/A	0	500	500	
tb15	6.930804	6.584264	7.493181	N/A	0	500	0.4274107	
tb16	9.879325	7.804667	16.25474	N/A	0	500	0.6538072	
pa11	320.6088	304.5783	331.3723	N/A	0	500	7.336975	
pa12	23.94039	4.30927	59.1688	N/A	0	500	500	
pa13	95.2893	86.71326	101.9596	N/A	0	500	6.10563	
pa14	496.7296	307.9723	500	N/A	0	500	500	
pa15	117.7038	112.9957	121.2349	N/A	0	500	3.98514	
pa16	0.2209869	0	281.3211	N/A	0	500	500	
pb11	300.0093	285.0088	323.8092	N/A	0	2000	11.41519	
pb12	220.4902	183.0068	340.1427	N/A	0	2000	29.58898	
pb13	80.25325	69.0178	99.45072	N/A	0	2000	18.44258	
pb14	1187.547	950.0379	2000	N/A	0	2000	2000	
pb15	60.10143	54.6923	66.9863	N/A	0	2000	8.002395	
pb16	780.0197	343.2087	2000	N/A	0	2000	2000	
pc1	8.862909e-05	0	1	N/A	0	1	1	
sd	79.41273	73.06772	86.77743	N/A	0.1	1000	3.702738	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1990	10	11	4	3	1	64.07742	11	1	1946	1948	2012	2	1	9	2	1	1	1	3	1	44	0.08616441	64.07742	2707.019	1	31.83099	12016.96	7024.602	16.57216	891.2677	28	0.3825116	22.70774	0.02413484	8	37.72533	-80.1077	666.932	0.3427531	-0.2145659	273.8544	276.0516	278.4906	281.8549	286.6672	291.5387	293.6415	292.9683	289.2612	284.4222	279.6512	275.4577	272.8513	272.3699	277.5195	280.967	285.5126	291.9849	293.749	292.5206	289.349	283.7732	277.4269	266.3774	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	27.07019	292.7515	283.5164	272.0945	282.3376	292.7162	284.4449	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	44.57046	
1991	1	1	1	2	1	89.74062	1	2	1940	1941	2012	2	1	8	1	37	1	1	3	1	51	0.07202347	89.74062	2262.754	1	31.83099	9204.968	5406.706	13.48683	827.6057	26	0.2930032	14.71545	0.04141148	1	37.91899	-79.84276	994.1304	0.03211271	0.02124307	272.9046	275.4839	279.7832	285.1532	291.2255	292.6417	294.7878	293.6826	290.2102	285.0866	277.8033	275.5116	276.024	277.3024	280.8655	283.6193	287.7749	292.0156	293.754	293.3561	290.1398	285.4807	280.4558	276.4743	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	22.62754	293.0419	285.3588	274.9543	285.3873	293.704	284.3667	94.67	110.4633	100.92	103.4067	109.0467	58.78	108.893	
1991	2	2	1	3	2	216.1655	2	2	1941	1943	2012	2	2	4	2	32	1	1	3	1	50	0.07094223	216.1655	2228.785	1	31.83099	9780.586	5349.099	13.88879	954.9297	30	0.3113257	15.30571	0.04236748	2	37.91423	-79.8396	866.7018	0.03820643	-0.1361153	273.1625	275.7681	279.8755	285.2681	291.5181	293.0367	295.2866	294.1091	290.485	285.2963	278.1076	275.8175	276.2777	277.5919	280.9465	283.7441	288.0331	292.4164	294.2248	293.7763	290.4145	285.6928	280.722	276.772	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	22.28785	293.4725	285.6098	275.2342	285.5539	294.1441	284.6296	94.67	110.4633	100.92	103.4067	109.0467	58.78	114.3855	
1991	3	3	1	3	3	72.46437	3	2	1934	1935	2012	2	1	10	1	3	1	1	2	1	57	0.09667223	72.46437	3037.142	1	31.83099	3534.228	3090.343	2.931703	891.2677	28	0.112498	4.928526	0.1472321	2	37.91517	-79.83977	880.1485	0.03880484	-0.11358	273.1128	275.849	280.1175	285.5496	291.6894	293.2001	295.3973	294.2687	290.6906	285.4509	278.1729	275.8002	276.2041	277.65	281.179	284.0356	288.2681	292.5815	294.3568	293.9402	290.6209	285.8433	280.773	276.7446	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	30.37142	293.6262	285.7457	275.2355	285.7855	294.2887	284.7715	94.67	110.4633	100.92	103.4067	109.0467	58.78	201.9213	
1991	4	4	2	1	3	901.5664	4	1	1927	1929	2012	2	2	5	2	21	1	1	1	1	64	0.3307703	901.5664	17566.14	1	18.8349	27764.68	10551.33	15.75677	640.3868	34	0.5229451	17.01821	0.09049694	3	38.31877	-79.2409	952.3546	0.006178378	0.287183	273.1456	274.7379	277.409	282.5621	289.4344	290.8693	293.4807	291.9475	288.2762	283.6786	277.2815	275.856	276.4339	276.7008	278.5425	280.9439	285.3609	290.2187	292.1899	291.5811	288.1972	284.1014	280.0259	276.9075	96	42.98	157.6	58.73	44.06	68.95	188.78	70.05	23.22	23.71	55.11	143.7	67.82	73.41	61.28	68.67	144.9	48.47	107.87	116.84	58.41	206.42	31.56	117.7	175.6614	291.3299	284.1082	274.9304	283.1352	292.0991	283.0788	91.06	98.79667	85.56	86.79667	109.26	34.01333	766.7061	
1991	4	5	2	1	3	121.6199	5	1	1938	1942	2012	2	1	6	4	23	1	1	2	1	53	0.1128057	121.6199	5990.744	1	18.8349	27764.68	10551.33	15.75677	640.3868	34	0.5229451	17.01821	0.03086302	3	38.31877	-79.2409	952.3546	0.006178378	0.287183	273.1456	274.7379	277.409	282.5621	289.4344	290.8693	293.4807	291.9475	288.2762	283.6786	277.2815	275.856	276.4339	276.7008	278.5425	280.9439	285.3609	290.2187	292.1899	291.5811	288.1972	284.1014	280.0259	276.9075	96	42.98	157.6	58.73	44.06	68.95	188.78	70.05	23.22	23.71	55.11	143.7	67.82	73.41	61.28	68.67	144.9	48.47	107.87	116.84	58.41	206.42	31.56	117.7	59.90744	291.3299	284.1082	274.9304	283.1352	292.0991	283.0788	91.06	98.79667	85.56	86.79667	109.26	34.01333	152.1025	
1991	5	6	2	2	2	43.456	6	2	1929	1930	2012	2	1	7	1	28	1	1	3	1	62	0.03575789	43.456	1618.004	1	22.10485	21938	9193.036	17.05755	663.1456	30	0.4849364	16.14774	0.01088356	4	38.31543	-79.22434	837.3021	0.01256754	0.06980967	272.0712	273.884	277.1057	282.5293	289.625	291.1469	293.8449	292.237	288.4162	283.6121	276.9847	274.8857	275.3457	275.8496	278.2104	280.9463	285.5222	290.5005	292.5402	291.8662	288.3383	284.0303	279.6413	275.9144	93.03	42.88	153.18	57.21	44.18	68.9	190.43	67.93	22.19	23.01	53.5	140.24	67.22	71.83	61.06	68.45	143.92	46.88	105.25	114.12	57.23	205.66	30.71	115.24	16.18004	291.6356	284.0033	273.9565	283.0867	292.4096	283.0043	88.75	97.86667	83.71667	84.85667	109.0867	32.9	13.13961	
1991	6	7	2	2	3	10.8875	7	2	1918	1919	2012	2	1	6	1	48	1	1	3	1	73	0.07440406	10.8875	2337.545	1	31.83099	4917.899	2388.712	7.603269	541.1268	17	0.1565416	8.45568	0.03765498	4	38.31529	-79.22547	843.7128	0.01308778	0.1314863	272.1177	273.9183	277.1397	282.548	289.6268	291.1406	293.8281	292.2279	288.4171	283.6189	276.9823	274.9229	275.3953	275.8867	278.2484	280.9609	285.5254	290.4938	292.5271	291.8576	288.3391	284.0379	279.6469	275.9529	93.03	42.88	153.18	57.21	44.18	68.9	190.43	67.93	22.19	23.01	53.5	140.24	67.22	71.83	61.06	68.45	143.92	46.88	105.25	114.12	57.23	205.66	30.71	115.24	23.37545	291.6262	284.008	273.9963	283.1048	292.3989	283.0061	88.75	97.86667	83.71667	84.85667	109.0867	32.9	83.66098	
1991	7	8	2	3	3	26.01828	8	1	1933	1935	2011	2	2	2	2	1	1	1	3	1	58	0.07596242	26.01828	1527.19	1	49.73592	5062.369	3928.928	8.557721	1094.19	22	0.2517816	11.57534	0.01244118	5	38.32188	-79.22275	717.661	1.240813	-0.1189929	270.8872	272.8394	276.1103	282.2035	289.7847	291.356	294.0416	292.5298	288.4855	283.0054	276.337	273.9125	274.1545	274.7528	277.0937	280.8348	285.8044	290.7289	292.7828	292.171	288.4146	283.3983	278.6969	274.8546	93.03	42.88	153.18	57.21	44.18	68.9	190.43	67.93	22.19	23.01	53.5	140.24	67.22	71.83	61.06	68.45	143.92	46.88	105.25	114.12	57.23	205.66	30.71	115.24	15.2719	291.8943	283.5033	272.8604	282.6995	292.6425	282.6093	88.75	97.86667	83.71667	84.85667	109.0867	32.9	13.05181	
1991	8	9	3	2	3	126.5684	9	2	1911	1912	2012	2	2	1	1	33	1	1	2	1	80	0.1980188	126.5684	6221.139	1	31.83099	9573.916	6716.381	10.7049	891.2677	28	0.3047472	15.36415	0.1022366	6	36.7567	-81.30802	1151.468	0.0226561	-0.01868551	269.5582	270.9862	273.0462	279.2496	287.1335	288.3851	291.1807	289.4747	285.6124	280.6098	274.4637	273.1708	272.9522	272.9832	274.1198	277.7451	282.7671	287.7129	289.8044	289.098	285.5355	281.0115	277.0775	274.2255	81.87	95.29	210.02	104.36	153.15	130.46	128.65	55.46	54.92	11.08	98.97	115.72	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	62.21139	288.8718	281.2082	271.59	279.8098	289.6802	280.2286	106.3533	141.4967	91.16667	155.8433	104.8567	54.99	113.0201	
