"Species","Parameter","MLE","Lower.Lim","Upper.Lim","Lower.Bound","Upper.Bound"
"ACRU","aa",0.999997838280757,0.989997859897949,1,0,1
"ACRU","ab",0.00365664468021108,0.00332754665899208,0.00392977684248794,0,1000
"ACRU","gmax",1797.0308234517,1671.23866581008,1850.94174815525,0,10000
"ACRU","ca",296.539495221137,287.643310364503,340.829468345387,0,2000
"ACRU","cb",5.11335150657435,5.01108447644286,5.11335150657435,0,1000
"ACRU","cc",2.51315330639066e-55,0,0.00875004931660078,0,5
"ACRU","cd",0.00228728205213281,0.00187557128274891,0.0024101091270131,0,5
"ACRU","ce",0,0,2.455506259831e-321,0,1000
"ACRU","cf",30.1683595856838,29.5649923939701,30.5623259137666,-100,2000
"ACRU","cg",-877.11991612674,-915.894937901871,-846.84453959142,-1000,1000
"ACRU","ta1",271.202599741218,250,325,250,325
"ACRU","tb1",128.274565458328,79.5302305841634,500,0,500
"ACRU","pa1",545.857264351138,251.591469879387,982.363252444727,100,5000
"ACRU","pb1",1850.48114064868,1221.31755282813,3083.9378379903,0,10000
"ACRU","pc1",0.94656696026871,0,1,0,1
"ACRU","sd",131.636121809983,126.374676937584,140.319760591883,0.1,1000
"BELE","aa",0.74369585915863,0,1,0,1
"BELE","ab",588.970018030433,0,1000,0,1000
"BELE","gmax",7738.83318399314,6964.94986559383,8744.88149791224,0,10000
"BELE","ca",746.256331706243,671.630698535619,811.331205072118,0,2000
"BELE","cb",3.89627386579993,3.23390730861394,4.69315684670729,0,1000
"BELE","cc",1.74491408411697,1.5006261123406,1.9751175207523,0,5
"BELE","cd",0.00807260549678505,0.0079918794418172,0.00817244404467512,0,5
"BELE","ce",2.47526888566465e-321,2.47526888566465e-321,4.75506045151938e-316,0,1000
"BELE","cf",1315.01956787678,1315.01956787678,1356.11839380417,-100,2000
"BELE","cg",-190.153658991247,-193.836938327775,-188.247115227952,-1000,1000
"BELE","ta1",314.690383147364,314.690383147364,314.690383147364,250,325
"BELE","tb1",14.5353348748726,14.2446281773751,14.82604157237,0,500
"BELE","pa1",1227.77036549728,1047.32710701771,1327.77036549728,100,5000
"BELE","pb1",500.283923573124,355.201585736918,1403.26291322871,0,10000
"BELE","pc1",0.0089359625911624,0,1,0,1
"BELE","sd",108.333977779848,95.3459004462659,122.60063413537,0.1,1000
"NYSY","aa",1,1,1,0,1
"NYSY","ab",0.00244756026527538,0.00232518225201161,0.00252098707323275,0,1000
"NYSY","gmax",3966.62792199571,3807.96280511588,4087.2953635558,0,10000
"NYSY","ca",1597.15199731151,1533.26591741905,1692.9811171502,0,2000
"NYSY","cb",8.95504478694077,8.95504478694077,8.95504478694077,0,1000
"NYSY","cc",0.0773101613182503,0.0749908564787028,0.0802637752214593,0,5
"NYSY","cd",1.10055654784431,0.946478631146105,1.26753985140898,0,5
"NYSY","ce",469.835471340498,418.153569493043,522.851924206448,0,1000
"NYSY","cf",20.1761152836936,19.9357630531262,20.3778764365305,-100,2000
"NYSY","cg",-92.1429503378155,-324.553577564711,-52.6698102839913,-1000,1000
"NYSY","ta1",283.812988823129,283.812988823129,283.812988823129,250,325
"NYSY","tb1",2.75284233460912,2.56014337118648,2.97926962102136,0,500
"NYSY","pa1",4979.96633596411,4101.57239549057,5000,100,5000
"NYSY","pb1",9997.02600806453,8097.59106653227,10000,0,10000
"NYSY","pc1",0.406992954380917,0,1,0,1
"NYSY","sd",79.3165504899955,73.7703919556958,87.4751835909755,0.1,1000
"QUPR","aa",0.929929772754905,0.929929772754905,0.929929772754905,0,1
"QUPR","ab",0.000140430541126729,0.000130600403247858,0.00015043053972203,0,1000
"QUPR","gmax",9361.63392146412,9080.7849038202,9736.09927832268,0,10000
"QUPR","ca",4.2230647809441,3.08283729008919,6.74468904663529,0,2000
"QUPR","cb",999.150477133623,749.362857850217,1000,0,1000
"QUPR","cc",3.54110041334682,3.43486740094642,3.71815543401416,0,5
"QUPR","cd",2.73410144909612,0,5,0,5
"QUPR","ce",814.328312350544,0,1000,0,1000
"QUPR","cf",295.011127359202,-100,2000,-100,2000
"QUPR","cg",350.358808080304,-1000,1000,-1000,1000
"QUPR","ta1",286.784435293663,286.784435293663,286.784435293663,250,325
"QUPR","tb1",12.7962620193277,10.1090469952689,19.2825199760622,0,500
"QUPR","pa1",1145.42623856595,1092.15492663765,1179.78902572293,100,5000
"QUPR","pb1",422.285348210968,367.388252943542,507.3527723895,0,10000
"QUPR","pc1",0.000330032101363552,0,0.465629623244159,0,1
"QUPR","sd",242.562018669828,220.739436989543,269.838879229923,0.1,1000
"QURU","aa",1,0.86,1,0,1
"QURU","ab",0.0135936150983956,0.00842804136100523,0.0231934845996923,0,1000
"QURU","gmax",6971.03594894923,6622.48415150177,7319.58774639669,0,10000
"QURU","ca",17.9633335876983,15.9873668930515,20.1250035899876,0,2000
"QURU","cb",165.203530004952,142.075035804259,191.917017044794,0,1000
"QURU","cc",5,4.9,5,0,5
"QURU","cd",0.0061057450553294,0.00586151525311623,0.00640537871062609,0,5
"QURU","ce",0,0,2.48783698322907e-174,0,1000
"QURU","cf",1957.74712756778,1608.93011588126,2000,-100,2000
"QURU","cg",-93.4930236393826,-99.1118743839172,-88.2258509723413,-1000,1000
"QURU","ta1",283.728664961782,283.728664961782,283.728664961782,250,325
"QURU","tb1",2.32227055464144,1.99715267699164,2.86639369517962,0,500
"QURU","pa1",4999.89579571652,4901.89787980219,5000,100,5000
"QURU","pb1",3144.79052233133,3050.44680666139,3239.13423800127,0,10000
"QURU","pc1",0.0834615182560797,0,1,0,1
"QURU","sd",550.275122346024,506.261112558342,604.242107664501,0.1,1000
