"Year","PlotID","TreeID","Site","Trans","Plot","BAI","CoreID","Pith","Pith.Yr","Inner","Outer","Bark","Use","Notes","Pith.offset","Tree","Spp","Genus","Canopy","Live","Age","BA.m2ha","BAI.filled","BA.tree","Stems","Density.Ha","BAI.filled.plot","BA.plot","BA.m2ha.plot","Density.ha.plot","Stems.plot","BAI.m2ha.plot","BA.m2ha.plot.live","RelBA","Site.Trans","Latitude","Longitude","elev","flow","TPI","Tavg.X01","Tavg.X02","Tavg.X03","Tavg.X04","Tavg.X05","Tavg.X06","Tavg.X07","Tavg.X08","Tavg.X09","Tavg.X10","Tavg.X11","Tavg.X12","Tavg.X01.prev","Tavg.X02.prev","Tavg.X03.prev","Tavg.X04.prev","Tavg.X05.prev","Tavg.X06.prev","Tavg.X07.prev","Tavg.X08.prev","Tavg.X09.prev","Tavg.X10.prev","Tavg.X11.prev","Tavg.X12.prev","Precip.X01","Precip.X02","Precip.X03","Precip.X04","Precip.X05","Precip.X06","Precip.X07","Precip.X08","Precip.X09","Precip.X10","Precip.X11","Precip.X12","Precip.X01.prev","Precip.X02.prev","Precip.X03.prev","Precip.X04.prev","Precip.X05.prev","Precip.X06.prev","Precip.X07.prev","Precip.X08.prev","Precip.X09.prev","Precip.X10.prev","Precip.X11.prev","Precip.X12.prev","BA.tree.cm2"
1990,"HIKA1","HIKA112","HIK","A",1,2178.603,"HIKA112HI","Y",1889,1890,2012,"Y","Y","break at 1931, 2 missing rings",1,12,"QURU","Quercus","C","LIVE",101,0.9471459,2178.603,66936.11,1,14.14711,23098.57,16604.92,17.97307,537.59,38,0.326778,21.13155,0.311389,"HIKA",38.56657,-79.16857,1094.13162265404,0.00832937219730942,0.205675967447272,276.464186213954,277.651205500368,280.534475879102,282.636191635771,286.608517949925,291.041966368269,292.771919754048,292.366466399381,289.281561158548,285.205112277883,280.665825060676,276.999046886879,275.458422596755,273.91290305147,279.405562036554,281.592090217584,285.479859216831,291.509892000977,292.872634888017,291.940329076412,289.377899116522,284.516066603444,278.061178841099,267.010527664926,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,669.3611
1990,"HIKA1","HIKA124","HIK","A",1,678.5305,"HIKA124HI","N",1914,1916,2012,"Y","Y","not sure of pith est",2,24,"QURU","Quercus","C","LIVE",76,1.114592,678.5305,78769.74,1,14.14711,23098.57,16604.92,17.97307,537.59,38,0.326778,21.13155,0.3664394,"HIKA",38.56657,-79.16857,1094.13162265404,0.00832937219730942,0.205675967447272,276.464186213954,277.651205500368,280.534475879102,282.636191635771,286.608517949925,291.041966368269,292.771919754048,292.366466399381,289.281561158548,285.205112277883,280.665825060676,276.999046886879,275.458422596755,273.91290305147,279.405562036554,281.592090217584,285.479859216831,291.509892000977,292.872634888017,291.940329076412,289.377899116522,284.516066603444,278.061178841099,267.010527664926,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,787.6974
1990,"HIKA2","HIKA220","HIK","A",2,192.2627,"HIKA220HI","N",1928,1931,2012,"Y","N","poor corr w/ master",3,20,"ACRU","Acer","I","LIVE",62,0.09318254,192.2627,4216.404,1,22.10485,19959.97,12807.57,18.49277,442.0971,20,0.4412122,25.31082,0.02591171,"HIKA",38.56745,-79.16833,1097.45767195767,0.00850915178571428,0.180565889550272,276.834362153844,277.606675211011,280.111458681323,282.135395916477,286.165680571364,290.673527396585,292.442752698134,292.003947486542,288.89219377129,284.903076807684,280.548179491817,277.247769244136,275.816606927353,273.810864402646,278.972041011251,281.086790408675,285.00912827668,291.144123590328,292.54632198556,291.571265302015,288.989821788704,284.206136743682,277.929295819271,267.135692350119,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,42.16404
1990,"HIKA3","HIKA311","HIK","A",3,1813.526,"HIKA311HI","N",1833,1838,2012,"Y","Y","tentative pith date",5,11,"QURU","Quercus","C","LIVE",157,3.259911,1813.526,230382.4,1,14.14711,17587.31,18372.22,18.37787,183.9124,13,0.2488095,27.50751,0.6398788,"HIKA",38.56833,-79.16862,1102.64975124378,0.00787902985074627,0.209981343283589,276.74194199104,277.343573109521,279.551136609871,281.546356226799,285.655061901133,290.247509084171,292.062423041819,291.586300100324,288.43695717519,284.52433951344,280.334009695625,277.180469624096,275.713874230025,273.498566948071,278.406339863712,280.495055739359,284.467316716701,290.721393823388,292.169456569026,291.145519741123,288.535636421688,283.822485976211,277.706328912891,266.938967492664,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,2303.824
1990,"HIKB3","HIKB321","HIK","B",3,65.94871,"HIKB321HI","Y",1928,1929,2012,"Y","N","poor corr w/ master",1,21,"ACRU","Acer","U","LIVE",62,0.07537536,65.94871,2368.06,1,31.83099,10164.81,8885.231,11.23463,1050.423,33,0.323556,19.47527,0.02064726,"HIKB",38.57215,-79.15678,907.026304870965,0.0383948469006721,0.238507177827566,276.958669211956,277.232345206055,279.1995718446,281.643140633025,286.076946212556,290.786250594762,292.713243829386,292.167472634475,288.739111904818,284.486303289937,280.287032364927,277.195346360862,275.933161119292,273.451338693858,278.14053752221,280.686555054662,284.924248125132,291.241515515811,292.818690387478,291.727301800923,288.831691768284,283.811991829707,277.866696147601,267.491092026854,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,23.6806
1990,"HIKB3","HIKB333","HIK","B",3,45.03096,"HIKB333HI","N",1930,1936,2012,"Y","Y","1977 missing",6,33,"ACRU","Acer","I","LIVE",60,0.07669892,45.03096,2409.642,1,31.83099,10164.81,8885.231,11.23463,1050.423,33,0.323556,19.47527,0.02100981,"HIKB",38.57215,-79.15678,907.026304870965,0.0383948469006721,0.238507177827566,276.958669211956,277.232345206055,279.1995718446,281.643140633025,286.076946212556,290.786250594762,292.713243829386,292.167472634475,288.739111904818,284.486303289937,280.287032364927,277.195346360862,275.933161119292,273.451338693858,278.14053752221,280.686555054662,284.924248125132,291.241515515811,292.818690387478,291.727301800923,288.831691768284,283.811991829707,277.866696147601,267.491092026854,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,24.09642
1990,"HIKB4","HIKB409","HIK","B",4,60.26329,"HIKB409HI","N",1934,1937,2012,"Y","Y","2011, 1977 missing",3,9,"ACRU","Acer","U","LIVE",56,0.06466648,60.26329,2031.621,1,31.83099,7055.469,6016.441,14.00252,668.4508,21,0.2245826,17.05673,0.01139556,"HIKB",38.57218,-79.15804,926.122354497354,0.0149162946428571,0.263103505291007,277.108523105773,277.104527749804,278.884247359271,281.306576250077,285.781012298027,290.545660684756,292.50456906498,291.926654629414,288.486626324433,284.311186663549,280.267200021575,277.335636595987,276.088857121933,273.335972646086,277.822840300623,280.337557630744,284.610786816751,291.003790049466,292.612923660864,291.47896669876,288.580092527322,283.637061806689,277.82418050586,267.540499726702,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,20.31621
1990,"HIKB4","HIKB413","HIK","B",4,84.81955,"HIKB413HI","Y",1920,1921,2012,"Y","Y","1931 missing",1,13,"ACRU","Acer","I","LIVE",70,0.1344647,84.81955,4224.465,1,31.83099,7055.469,6016.441,14.00252,668.4508,21,0.2245826,17.05673,0.02369544,"HIKB",38.57218,-79.15804,926.122354497354,0.0149162946428571,0.263103505291007,277.108523105773,277.104527749804,278.884247359271,281.306576250077,285.781012298027,290.545660684756,292.50456906498,291.926654629414,288.486626324433,284.311186663549,280.267200021575,277.335636595987,276.088857121933,273.335972646086,277.822840300623,280.337557630744,284.610786816751,291.003790049466,292.612923660864,291.47896669876,288.580092527322,283.637061806689,277.82418050586,267.540499726702,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,42.24465
1990,"HIKB4","HIKB420","HIK","B",4,87.13678,"HIKB420HI","N",1930,1933,2008,"Y","N","poor corr w/ master",3,20,"ACRU","Acer","U","LIVE",60,0.04011024,87.13678,1260.139,1,31.83099,7055.469,6016.441,14.00252,668.4508,21,0.2245826,17.05673,0.007068246,"HIKB",38.57218,-79.15804,926.122354497354,0.0149162946428571,0.263103505291007,277.108523105773,277.104527749804,278.884247359271,281.306576250077,285.781012298027,290.545660684756,292.50456906498,291.926654629414,288.486626324433,284.311186663549,280.267200021575,277.335636595987,276.088857121933,273.335972646086,277.822840300623,280.337557630744,284.610786816751,291.003790049466,292.612923660864,291.47896669876,288.580092527322,283.637061806689,277.82418050586,267.540499726702,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,12.60139
1990,"HIKC2","HIKC202","HIK","C",2,499.796,"HIKC202HI","N",1809,1815,2012,"Y","Y","dots off on core",6,2,"BELE","Betula","C","LIVE",181,2.538845,499.796,79762.64,1,31.83099,15782.89,8827.292,25.05038,763.9437,24,0.5023851,27.15227,0.540835,"HIKC",38.57435,-79.15297,834.35688225539,0.0919242537313433,-0.101844941956882,276.362631487373,277.810345982244,280.359239879041,282.876320357686,287.200297640929,291.814477053998,293.673120927246,293.184745111035,289.787209160884,285.319893821027,280.676452231232,277.059210691436,275.3409211434,274.038632337316,279.290764632537,281.91137399337,286.08909576356,292.264207554325,293.773085684318,292.757901509051,289.87982086806,284.638014767157,278.257035892042,267.4923603874,60.25,63.2,52.08,57.34,146.96,56.51,121.6,108.89,75.81,160.58,32.89,119.52,62.54,49.98,110.04,90.67,146.24,152.63,164.73,184.86,107.82,92.57,76.21,50.44,797.6264
